Generation PopBest PopAvg BestOverall
0 -600 -600 -600
1 -600 -600 -600
2 -600 -600 -600
3 -600 -600 -600
4 -600 -600 -600
5 -600 -600 -600
6 -600 -600 -600
7 -20 -542 -20
8 -600 -600 -20
9 -20 -542 -20
10 -20 -540 -20
11 -600 -600 -20
12 -600 -600 -20
13 -80 -548 -20
14 0 -488 0
15 -80 -548 0
16 -600 -600 0
17 -600 -600 0
18 -80 -548 0
19 -560 -592 0

