Generation PopBest PopAvg BestOverall
0 -600 -600 -600
1 -600 -600 -600
2 -80 -548 -80
3 -580 -598 -80
4 -600 -600 -80
5 -80 -496 -80
6 -80 -548 -80
7 -600 -600 -80
8 -60 -494 -60
9 40 -536 40
10 -80 -392 40
11 -80 -548 40
12 -80 -496 40
13 -80 -496 40
14 -80 -548 40
15 -600 -600 40
16 -80 -548 40
17 -60 -544 40
18 -580 -598 40
19 -80 -544 40

